broadcast_id,product_no,product_key,name,brand_name,mall_name,image_url,price,sale_price,discount_rate,status,broadcast_product_status,is_represent,live_discount_active,product_url,crawled_at
1898469,11725729783,11725729783,[유미의 세포들] 프리메라 마일드&퍼펙트 오일투폼 클렌저 300mlX2개,프리메라,프리메라 스토어,https://shop-phinf.pstatic.net/20260520_200/1779236235047rGtjG_PNG/28573999179890348_1847446574.png,58480,68000,14,SALE,SALE,True,False,https://smartstore.naver.com/main/products/11725729783,2026-05-20T15:21:43.458142+00:00
1923315,13088236161,13088236161,[바액] 멜라액션 크림 [50ml] 기미완화 잡티케어 브라이트닝 멜라제로 에이징케어,바이옴액티베이트,바이옴 액티베이트,https://shop-phinf.pstatic.net/20260210_148/1770692642861Ox3Sx_JPEG/104825456140484456_1512907389.jpg,15800,15800,0,SALE,SALE,False,False,https://smartstore.naver.com/main/products/13088236161,2026-05-20T15:21:43.458142+00:00
1919782,11864154087,11864154087,[10%추가적립]동국제약 센텔리안24 마데카 프라임 맥스 하이퍼탄력+토닝에센스 300ml+아하부스팅앰플30ml+미용4종세트+쇼핑백 / 수분 탄력 피부 얼굴마사지기 뷰티디바이스 기기,센텔리안24,동국제약 센텔리안24,https://shop-phinf.pstatic.net/20260515_65/1778835250979N030W_JPEG/2530291925924975_1347618127.jpg,339000,523000,35,SALE,SALE,True,False,https://smartstore.naver.com/main/products/11864154087,2026-05-20T15:21:43.458142+00:00
1923328,13544313937,13544313937,바이라 바디워시 1+1,,위드민짱,https://shop-phinf.pstatic.net/20260518_123/1779082240977PaWnw_JPEG/62893139868939567_1760364852.jpg,35000,35000,0,SALE,SALE,False,False,https://smartstore.naver.com/main/products/13544313937,2026-05-20T15:21:44.282988+00:00
1922267,13545716050,13545716050,[단독2시간특별구성]스킨볼릭 리포엘라 바디오일 500ml+선택4,스킨볼릭,thewon,https://shop-phinf.pstatic.net/20260519_7/1779119725653QhIYV_PNG/83547790933424667_1670172371.png,288000,298000,3,SALE,SALE,True,False,https://smartstore.naver.com/main/products/13545716050,2026-05-20T15:21:44.282988+00:00
1923308,11792002020,11792002020,고릴라왁싱 눈썹 정리기 전동 여성용 제모기 왁싱 페이셜 트리머 인중 솜털 올리브영 히트 상품,고릴라왁싱,퍼플고릴라,https://shop-phinf.pstatic.net/20260401_104/17750034977385006F_JPEG/206951850312144_340637056.jpg,20900,39900,47,SALE,SALE,True,False,https://smartstore.naver.com/main/products/11792002020,2026-05-20T15:21:44.282988+00:00
1923004,11356475115,11356475115,에끌라두 NK-CX 코어 앰플 1제&2제 x 12ea,자체브랜드,에끌라두 스토어,https://shop-phinf.pstatic.net/20260327_226/1774578132475Q22Ov_JPEG/1496796348516641_930865018.jpg,650000,650000,0,SALE,SALE,True,False,https://smartstore.naver.com/main/products/11356475115,2026-05-20T15:21:44.999066+00:00
1918641,13004335697,13004335697,[포토리뷰4천원]동국제약 센텔리안24 마데카크림 하이드라 카밍 50ml 2개,센텔리안24,동국제약 센텔리안24,https://shop-phinf.pstatic.net/20260518_109/17791070294213fRav_JPEG/28444793573797686_402581355.jpg,31800,31800,0,SALE,SALE,True,False,https://smartstore.naver.com/main/products/13004335697,2026-05-20T15:21:46.671267+00:00
1923139,8262789513,8262789513,[19차완판 예약판매]블루셀 수바이옴 마이크로바이옴 맥주효모 탈모샴푸,블루셀,BlueCell,https://shop-phinf.pstatic.net/20230320_61/1679295730442WyPPv_PNG/80431565260954924_1720433403.png,29700,51000,41,SALE,SALE,True,False,https://smartstore.naver.com/main/products/8262789513,2026-05-20T15:21:47.444093+00:00
1919907,11673004923,11673004923,필립스 전기 면도기 i9000 프레스티지 울트라 UV케이스 XP9403/49,필립스,필립스,https://shop-phinf.pstatic.net/20250408_262/1744092375440tT3Ex_JPEG/78225207591354116_1100030638.jpg,778900,849000,8,SALE,SALE,True,False,https://smartstore.naver.com/main/products/11673004923,2026-05-20T15:21:47.444093+00:00
1908796,12760353895,12760353895,"속삭젤 엘리먼트랩 더포어클로저 필링젤 180ml, 1개",엘리먼트랩,엘리먼트랩,https://shop-phinf.pstatic.net/20251213_170/1765617398831xzMOU_JPEG/99750322736942416_785252410.jpg,35750,65000,45,SALE,SALE,False,False,https://smartstore.naver.com/main/products/12760353895,2026-05-20T15:21:47.444093+00:00
1898594,12837669298,12837669298,다이슨 에어랩 i.d. 멀티 스타일러 앤 드라이어 (살구 에디션),Dyson,다이슨 코리아,https://shop-phinf.pstatic.net/20260227_127/1772153110839eX6dY_JPEG/97342384731436235_900283822.jpg,629000,699000,10,SALE,SALE,True,False,https://smartstore.naver.com/main/products/12837669298,2026-05-20T15:21:47.444093+00:00
1898186,13458391356,13458391356,[3+3][유미의 세포들] 어린쑥 크림 트리오,한율,한율,https://shop-phinf.pstatic.net/20260515_299/17788046343664wNAE_JPEG/26089417154538448_1430879829.jpg,86640,114000,24,SALE,SALE,True,False,https://smartstore.naver.com/main/products/13458391356,2026-05-20T15:21:47.444093+00:00
1896931,11470091887,11470091887,[BRAUN] 브라운 전기면도기 시리즈9 PRO Skin Plus 9597cc 실버 프로컴포트헤드 모델,BRAUN,브라운 공식 브랜드스토어,https://shop-phinf.pstatic.net/20260519_207/1779155718433WuMtQ_JPEG/1088123241220734_194313637.jpg,319000,699000,54,SALE,SALE,True,False,https://smartstore.naver.com/main/products/11470091887,2026-05-20T15:21:47.444093+00:00
1915336,12083765616,12083765616,[GP201TBK LUX] 글램팜 글램뮤즈 플랫 럭스에디션 오리지널블랙,글램팜,글램팜,https://shop-phinf.pstatic.net/20250710_115/1752110260172Glvvt_JPEG/39487259038936056_1715319385.jpg,270000,354000,23,SALE,SALE,False,False,https://smartstore.naver.com/main/products/12083765616,2026-05-20T15:21:47.444093+00:00
1903842,10298529853,10298529853,슈틸루스터 멀티 헤어스타일러 드라이기 롱컬러 ST-DR100P,슈틸루스터,슈틸루스터,https://shop-phinf.pstatic.net/20240527_286/17167718468026grHm_JPEG/117907735512215565_376749116.jpg,141000,299000,52,SALE,SALE,True,False,https://smartstore.naver.com/main/products/10298529853,2026-05-20T15:21:48.291150+00:00
1908929,11334816354,11334816354,오스너 에어스트레이트 고데기 매직기 휴대용 헤어 아이에어로,오스너,오스너,https://shop-phinf.pstatic.net/20260413_78/1776044130950WcQsn_JPEG/68769249224215015_1146769072.jpg,139000,299000,53,SALE,SALE,True,False,https://smartstore.naver.com/main/products/11334816354,2026-05-20T15:21:48.291150+00:00
1900528,13513439822,13513439822,[단독] 스킨힐러 플라즈마&앰플겔 5EA,리터니티,리터니티,https://shop-phinf.pstatic.net/20260518_226/1779066714216zOTMl_PNG/15942146157252521_1780198565.png,486000,810000,40,SALE,SALE,True,False,https://smartstore.naver.com/main/products/13513439822,2026-05-20T15:21:48.291150+00:00
1923192,13486631368,13486631368,전해질 미스트 120ml,프레미오21,뽀하얀,https://shop-phinf.pstatic.net/20260504_103/1777878886620b1A0H_JPEG/92894551207785013_847274166.jpg,49000,49000,0,SALE,SALE,False,False,https://smartstore.naver.com/main/products/13486631368,2026-05-20T15:21:48.291150+00:00
1922940,12339958292,12339958292,"줄기세포 배양액 엑소좀 한병끝 안티에이징,겟유어앰플 최초 구매 체험용,",겟유어,뷰티플글로우,https://shop-phinf.pstatic.net/20251031_278/1761879423690T6E4Q_PNG/9855416637324552_1287798263.png,10000,10000,0,SALE,SALE,True,False,https://smartstore.naver.com/main/products/12339958292,2026-05-20T15:21:48.291150+00:00
1916429,13468882049,13468882049,알파루틴 이지컨트롤 토너미스트 200ml,알파루틴,Alpha Routine,https://shop-phinf.pstatic.net/20260429_60/1777467066302hAS3K_PNG/62423986376841804_1177712415.png,27900,33000,15,SALE,SALE,False,False,https://smartstore.naver.com/main/products/13468882049,2026-05-20T15:21:48.291150+00:00
1910043,13441010086,13441010086,46cm 체취솔루션 데오드란트 약산성 땀냄새 체취제거 등드름 여드름 청소년 각질 쿨링 바디워시 아이스 블라스트 600ml+증정,온더바디,LG생활건강 공식 스토어,https://shop-phinf.pstatic.net/20260515_167/1778803157430epldp_JPEG/112936073546396121_1921290519.jpg,13900,19900,30,SALE,SALE,False,False,https://smartstore.naver.com/main/products/13441010086,2026-05-20T15:21:48.291150+00:00
1892222,13109982882,13109982882,[파데프리_김아영PICK] 이니스프리 데일리 UV 톤업 노세범 선크림 SPF 50+ PA++++ 50mL (핑크/라벤더/베이지) (2개 구매 필수),이니스프리,이니스프리,https://shop-phinf.pstatic.net/20260518_52/1779069518803NaUme_JPEG/113202349196725634_1827365758.jpg,20000,40000,50,SALE,SALE,True,False,https://smartstore.naver.com/main/products/13109982882,2026-05-20T15:21:48.998996+00:00
1891604,13374965220,13374965220,"3CE 핏팅 메쉬 커버 쿠션 11g SPF40, PA+++ (+피카소 퍼프 2개 증정)",3CE,3CE,https://shop-phinf.pstatic.net/20260508_273/1778219066009bVtnP_JPEG/112351968128974685_1773519054.jpg,26900,33000,18,SALE,SALE,True,False,https://smartstore.naver.com/main/products/13374965220,2026-05-20T15:21:48.998996+00:00
1891489,12793754921,12793754921,미니튠M1 퍼스널 4종 세트,Quadthera,Quadthera,https://shop-phinf.pstatic.net/20260417_242/1776393048470Yy7gC_JPEG/131221603411557148_493138328.jpg,349000,349000,0,SALE,SALE,False,False,https://smartstore.naver.com/main/products/12793754921,2026-05-20T15:21:48.998996+00:00
1917007,13518378193,13518378193,💙셀퓨전씨X후니언💙 썸머 쿨링 마켓 (옵션 택1),셀퓨전씨,셀퓨전씨,https://shop-phinf.pstatic.net/20260513_150/1778659210275rrq5k_JPEG/15534642229701509_441878118.jpg,28800,56000,48,CLOSE,CLOSE,False,False,https://smartstore.naver.com/main/products/13518378193,2026-05-20T15:21:48.998996+00:00
1903839,10298529853,10298529853,슈틸루스터 멀티 헤어스타일러 드라이기 롱컬러 ST-DR100P,슈틸루스터,슈틸루스터,https://shop-phinf.pstatic.net/20240527_286/17167718468026grHm_JPEG/117907735512215565_376749116.jpg,141000,299000,52,SALE,SALE,True,False,https://smartstore.naver.com/main/products/10298529853,2026-05-20T15:21:49.915520+00:00
1923042,11792002020,11792002020,고릴라왁싱 눈썹 정리기 전동 여성용 제모기 왁싱 페이셜 트리머 인중 솜털 올리브영 히트 상품,고릴라왁싱,퍼플고릴라,https://shop-phinf.pstatic.net/20260401_104/17750034977385006F_JPEG/206951850312144_340637056.jpg,20900,39900,47,SALE,SALE,True,False,https://smartstore.naver.com/main/products/11792002020,2026-05-20T15:21:50.666624+00:00
1903836,10298529853,10298529853,슈틸루스터 멀티 헤어스타일러 드라이기 롱컬러 ST-DR100P,슈틸루스터,슈틸루스터,https://shop-phinf.pstatic.net/20240527_286/17167718468026grHm_JPEG/117907735512215565_376749116.jpg,141000,299000,52,SALE,SALE,True,False,https://smartstore.naver.com/main/products/10298529853,2026-05-20T15:21:51.636733+00:00
1922826,13544313937,13544313937,바이라 바디워시 1+1,,위드민짱,https://shop-phinf.pstatic.net/20260518_123/1779082240977PaWnw_JPEG/62893139868939567_1760364852.jpg,35000,35000,0,SALE,SALE,False,False,https://smartstore.naver.com/main/products/13544313937,2026-05-20T15:21:52.334571+00:00
1903834,10298529853,10298529853,슈틸루스터 멀티 헤어스타일러 드라이기 롱컬러 ST-DR100P,슈틸루스터,슈틸루스터,https://shop-phinf.pstatic.net/20240527_286/17167718468026grHm_JPEG/117907735512215565_376749116.jpg,141000,299000,52,SALE,SALE,True,False,https://smartstore.naver.com/main/products/10298529853,2026-05-20T15:21:53.211853+00:00
1922715,11792002020,11792002020,고릴라왁싱 눈썹 정리기 전동 여성용 제모기 왁싱 페이셜 트리머 인중 솜털 올리브영 히트 상품,고릴라왁싱,퍼플고릴라,https://shop-phinf.pstatic.net/20260401_104/17750034977385006F_JPEG/206951850312144_340637056.jpg,20900,39900,47,SALE,SALE,True,False,https://smartstore.naver.com/main/products/11792002020,2026-05-20T15:21:53.211853+00:00
1903832,10298529853,10298529853,슈틸루스터 멀티 헤어스타일러 드라이기 롱컬러 ST-DR100P,슈틸루스터,슈틸루스터,https://shop-phinf.pstatic.net/20240527_286/17167718468026grHm_JPEG/117907735512215565_376749116.jpg,141000,299000,52,SALE,SALE,True,False,https://smartstore.naver.com/main/products/10298529853,2026-05-20T15:21:53.970998+00:00
1899835,4671334582,4671334582,"스킨구하리 / 리바이브 테라피 엔에프 앰플 / 30ml / PDRN 앰플, 덱스판테놀, 비타민B5",스킨구하리,스킨구하리,https://shop-phinf.pstatic.net/20251012_50/1760245099854ABdy6_JPEG/9314850913280403_1638789478.jpg,31000,45000,31,SALE,SALE,True,False,https://smartstore.naver.com/main/products/4671334582,2026-05-20T15:21:54.701771+00:00
1906129,12849385439,12849385439,바이브랩 4주 솔루션 초록 탈모 샴푸 500ml + 500ml 리필 SET,바이브랩,바이브랩,https://shop-phinf.pstatic.net/20260430_157/1777512128144Pjuuc_JPEG/111644948269859958_2040279209.jpg,57900,59000,1,SALE,SALE,True,False,https://smartstore.naver.com/main/products/12849385439,2026-05-20T15:21:55.655543+00:00
1895839,6092780430,6092780430,미프 비타맥스 남자 올인원 로션 스킨 남성 옴므 화장품 본품 200ml+리필 150ml,미프,미프,https://shop-phinf.pstatic.net/20241118_41/1731906731984WRTFy_PNG/66039545268119592_1942084401.png,32900,52000,36,SALE,SALE,True,False,https://shopping.naver.com/outlink/itemdetail/6092780430,2026-05-20T15:21:55.655543+00:00
1891257,6571533697,6571533697,홈쎄라 야노시호 10만샷 패키지 (본체 1개+카트리지 2개) 하이푸 탄력 뷰티디바이스 리프팅 기기,홈쎄라,홈쎄라,https://shop-phinf.pstatic.net/20260118_250/1768717152015xHpQ6_JPEG/18045961155855022_1009756842.jpg,1990000,3990000,50,SALE,SALE,True,False,https://smartstore.naver.com/main/products/6571533697,2026-05-20T15:21:55.655543+00:00
1917792,12089171060,12089171060,에이델 비건 세럼 샴푸 500ml 탈모 퍼퓸 천연 단백질 두피 미용실 향기좋은 라레플뢰르,에이델,에이델 공식 스토어,https://shop-phinf.pstatic.net/20260422_282/1776824943578amddG_JPEG/56221464717751541_964283644.jpg,26800,84000,68,SALE,SALE,False,False,https://shopping.naver.com/outlink/itemdetail/12089171060,2026-05-20T15:21:55.655543+00:00
