exhibition_id,name,link_url,thumbnail_url,crawled_at
4021,에어컨위크,https://shoppinglive.naver.com/exhibition/4021,https://g-selected.pstatic.net/MjAyNjA1MThfMjQ4/MDAxNzc5MDgwMzE0NzE0.2fsVeQXwr8QT20L3nUcPitw76gnkEbgQuvUoGU1Z6iMg.YN0HyVJHOc7Fr41wV28IEiw-4HzM1kaQ-Rfe6Z6D3A4g.JPEG/%EC%97%90%EC%96%B4%EC%BB%A8_%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC_%ED%80%B5_%EB%A9%94%EB%89%B4_120x120.jpg,2026-05-20T15:17:47.404040+00:00
3893,특급혜택,https://shoppinglive.naver.com/exhibition/3893,https://g-selected.pstatic.net/MjAyNjA1MThfNDgg/MDAxNzc5MDgwMjU4ODMx.n7zHHlpyCqXEIIoAtEuqu6Mqe5ACUWouUct-Mjl-1jEg.gF6YMKxHZIOYDOeaH38r5I83h-BQmoTI5PCr2pYolw8g.PNG/%EC%8A%88%ED%8D%BC%EC%A0%81%EB%A6%BD_%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC_%ED%80%B5%EB%A9%94%EB%89%B4_02_120x120.png,2026-05-20T15:17:47.404040+00:00
1104,N배송특가,https://shoppinglive.naver.com/exhibition/1104,https://g-selected.pstatic.net/MjAyNjA1MTVfNjcg/MDAxNzc4ODE3MjM5MjI5.3-1izgiVqhvn1zuay28Nb_DumEWSS2I1ubNbLNq3-3Yg.UU_zKRjQ8NcvHYaSrpWGtdVgy45xw8uiAQTLKBAPNXgg.PNG/N%EB%B0%B0%EC%86%A1_%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC_%ED%80%B5_%EB%A9%94%EB%89%B4_120x120.png,2026-05-20T15:17:47.404040+00:00
